Datum;BIEL-BENKEN - Niederschlag (mm oder Liter/m2);AESCH-BL - Niederschlag (mm oder Liter/m2);WALLBACH - Niederschlag (mm oder Liter/m2);FRICK - Niederschlag (mm oder Liter/m2);OBERFLACHS - Niederschlag (mm oder Liter/m2);GRAENICHEN - Niederschlag (mm oder Liter/m2);SEENGEN - Niederschlag (mm oder Liter/m2);BIRMENSTORF - Niederschlag (mm oder Liter/m2);LEUGGERN - Niederschlag (mm oder Liter/m2);TEGERFELDEN - Niederschlag (mm oder Liter/m2);ENDINGEN - Niederschlag (mm oder Liter/m2);KUENTEN - Niederschlag (mm oder Liter/m2);STEINMAUR - Niederschlag (mm oder Liter/m2);WIL-SG - Niederschlag (mm oder Liter/m2);WIL-ZH - Niederschlag (mm oder Liter/m2);HALLAU - Niederschlag (mm oder Liter/m2);UHWIESEN - Niederschlag (mm oder Liter/m2);LINDAU - Niederschlag (mm oder Liter/m2);LIEBENSBERG - Niederschlag (mm oder Liter/m2);UESSLINGEN - Niederschlag (mm oder Liter/m2);MAMMERN - Niederschlag (mm oder Liter/m2);DETTIGHOFEN - Niederschlag (mm oder Liter/m2);THUNDORF - Niederschlag (mm oder Liter/m2);WEINFELDEN - Niederschlag (mm oder Liter/m2)
19.03.2011;14;14;12.2;13.6;9.8;9.2;8;19.4;8.6;12;11.6;12.6;0;14.4;19;15;15;18.8;13;14.4;0;8;17.4;11.4
20.03.2011;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0.2
21.03.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.03.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23.03.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.03.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.03.2011;0;0;0;0;0;0;0.6;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0
26.03.2011;3;0.2;0.4;0.8;0.2;0.2;0.4;0;0.6;0.6;0.8;0.4;0;0;1;0;0;0;0.8;0;0;1;0.8;0.4
27.03.2011;0.8;0.2;0.4;0.1;1.6;0.6;0;1.2;0;0;0.2;0.4;0;0;0;1.2;1.2;0;0;0;0;0.4;0;0.2
28.03.2011;0;0;3.2;3.3;1.8;6.2;7.6;2;6.2;8.6;6.2;1.4;0;10.8;1;1.6;1.6;2.6;1.2;10.8;0;10.4;5.4;4.8
29.03.2011;0;0;0.2;0.2;0.2;0;0.2;0.2;0.2;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0
30.03.2011;2.8;2.8;2.8;0.8;0.6;0.4;0;0;1.2;0.4;1.2;0;0;0;1;0;0;0;0;0;0;0;0;0
31.03.2011;7.8;7.8;9.8;6.3;4.2;5;5.4;2.8;2.8;1.6;1.8;3.6;0;2;2;2.4;2.4;8.2;4.2;2;0;4.8;5.8;4.4
01.04.2011;0;0;0;0;0;0;0;0;0.2;0.2;0;0;0;0;0;0.2;0.2;0;0;0;0;0.4;0;0
02.04.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.04.2011;0;0;0;0.3;0;0;0;0;0.4;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.04.2011;10.6;10.2;15;16;12.8;18.4;13.6;15.4;5;8.8;6.4;15.4;0;20.8;14;16.8;16.8;24;19.4;20.8;0;18;27;20.8
05.04.2011;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0.2;0.8;0;0;0
06.04.2011;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.04.2011;0;0;0;0;0;0.8;0;0;0;2;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0
08.04.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.04.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.04.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.04.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2011;3.6;5.8;1.4;0.6;2.2;0;0.6;0.8;0.6;0.2;0;0.4;0;0.8;0;0;0;0.2;0.2;0.8;0;0;0;0
13.04.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0.4;0;0;0;0
14.04.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15.04.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.04.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.04.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.04.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
